complete_sentence,question_text,english_translation,hint,alternate_correct_responses,option_a,option_b,option_c,option_d,correct_option,cefr_level,topic,explanation,resource
Questo libro costa quindici euro.,Questo libro costa ___ euro.,This book costs fifteen euros.,,,quindici,cinquanta,dodici,venti,A,A1,Numeri e prezzi (0-100),Numbers from 0-100 are essential vocabulary. 'Quindici' means fifteen.,https://www.lawlessitalian.com/grammar/numbers/
Buongiorno! Come sta?,___! Come sta?,Good morning! How are you?,,,Buongiorno,Buonanotte,Arrivederci,Prego,A,A1,Espressioni comuni,'Buongiorno' is the standard greeting for 'good morning' used until about 1 PM.,https://www.lawlessitalian.com/vocabulary/greetings/
"Scusi, dov'è la stazione?","___, dov'è la stazione?","Excuse me, where is the station?",formal,,Scusi,Scusa,Ciao,Grazie,A,A1,Espressioni comuni,'Scusi' is the formal form of 'excuse me' when addressing strangers politely.,https://www.lawlessitalian.com/vocabulary/politeness/
Io parlo italiano ogni giorno.,Io ___ italiano ogni giorno.,I speak Italian every day.,,,parlo,parli,parla,parlano,A,A1,Presente indicativo: verbi regolari -are,First person singular of -are verbs drops -are and adds -o: parlare → parlo.,https://www.lawlessitalian.com/grammar/present-tense/
Tu ascolti la musica classica.,Tu ___ la musica classica.,You listen to classical music.,,,ascolti,ascolto,ascolta,ascoltano,A,A1,Presente indicativo: verbi regolari -are,Second person singular of -are verbs drops -are and adds -i: ascoltare → ascolti.,https://www.lawlessitalian.com/grammar/present-tense/
Lei indossa una bella camicia blu.,Lei indossa una bella ___ blu.,She is wearing a beautiful blue shirt.,,,camicia,pantaloni,scarpe,cappello,A,A1,Abbigliamento (vocabolario),'Camicia' means shirt and agrees with the feminine adjective 'bella' and article 'una'.,https://www.lawlessitalian.com/vocabulary/clothing/
Dove abiti tu?,___ abiti tu?,Where do you live?,,,Dove,Come,Quando,Perché,A,A1,Parole interrogative,'Dove' means 'where' and is used to ask about location or place.,https://www.lawlessitalian.com/grammar/interrogatives/
Io mi sveglio alle sette di mattina.,Io mi ___ alle sette di mattina.,I wake up at seven in the morning.,,,sveglio,svegli,sveglia,addormento,A,A1,Routine quotidiana,Reflexive verb 'svegliarsi' (to wake up): first person singular is 'mi sveglio'.,https://www.lawlessitalian.com/grammar/reflexive-verbs/
Il mio gatto nero è molto carino.,Il mio ___ nero è molto carino.,My black cat is very cute.,,,gatto,cane,pesce,uccello,A,A1,Animali (vocabolario),'Gatto' means cat and agrees with the masculine article 'il' and adjective 'nero'.,https://www.lawlessitalian.com/vocabulary/animals/
La casa della nonna è grande.,___ casa della nonna è grande.,Grandmother's house is big.,,,La,Il,Un,Una,A,A1,Articoli determinativi,"'Casa' is feminine singular, so it takes the definite article 'la'.",https://www.lawlessitalian.com/grammar/articles/
Prego!,Write: You're welcome!,You're welcome!,,,Prego!,Grazie!,Scusa!,Ciao!,A,A1,Espressioni comuni,"'Prego' is the standard way to say 'you're welcome' in Italian, used in response to 'grazie'.",https://www.lawlessitalian.com/vocabulary/expressions/
Io parlo italiano.,Io ___ italiano.,I speak Italian.,,,parlare,parlo,parli,parla,B,A1,Presente indicativo: verbi regolari -are,"For -are verbs in present tense, the first person singular (io) ending is -o: parlare → parlo.",https://www.lawlessitalian.com/grammar/present-tense-regular/
Tu ascolti la musica.,Tu ___ la musica.,You listen to music.,,,ascolto,ascolti,ascolta,ascoltano,B,A1,Presente indicativo: verbi regolari -are,"For -are verbs in present tense, the second person singular (tu) ending is -i: ascoltare → ascolti.",https://www.lawlessitalian.com/grammar/present-tense-regular/
Io porto una camicia blu.,Io porto una ___ blu.,I wear a blue shirt.,,,camicia,camicie,camicio,camice,A,A1,Abbigliamento (vocabolario),"'Camicia' (shirt) is feminine singular, matching the indefinite article 'una'.",https://www.lawlessitalian.com/vocabulary/clothing/
Come ti chiami?,___ ti chiami?,What is your name?,,,Quando,Dove,Come,Perché,C,A1,Parole interrogative,'Come' means 'how/what' and is used in the expression 'Come ti chiami?' to ask someone's name.,https://www.lawlessitalian.com/grammar/interrogatives/
Io faccio colazione alle otto.,Io ___ colazione alle otto.,I have breakfast at eight.,,,faccio,fai,fa,fanno,A,A1,Routine quotidiana,'Fare colazione' means 'to have breakfast'. The first person singular of 'fare' is 'faccio'.,https://www.lawlessitalian.com/grammar/irregular-verbs/
Il gatto è nero.,Il ___ è nero.,The cat is black.,,,gatta,gatto,gatti,gatte,B,A1,Animali (vocabolario),"'Gatto' is masculine singular, matching the definite article 'il'.",https://www.lawlessitalian.com/vocabulary/animals/
La casa è grande.,___ casa è grande.,The house is big.,,,Il,Lo,La,Le,C,A1,Articoli determinativi,"'Casa' is a feminine singular noun, so it takes the feminine singular definite article 'la'.",https://www.lawlessitalian.com/grammar/definite-articles/
Io prendo l'autobus per andare al lavoro.,Io prendo ___ per andare al lavoro.,I take the bus to go to work.,,il pullman,l'autobus,la macchina,il treno,l'aereo,A,A1,Trasporti (vocabolario),'L'autobus' means 'the bus' and is a common form of public transportation.,https://www.lawlessitalian.com/vocabulary/transportation/
A me piace la pizza italiana.,A me ___ la pizza italiana.,I like Italian pizza.,,,piace,piacciono,piacete,piacciamo,A,A1,Piacere (uso base: piace/piacciono),"Use 'piace' with singular nouns. 'La pizza' is singular, so we use 'piace'.",https://www.lawlessitalian.com/grammar/piacere/
Noi studiamo italiano a scuola.,Noi ___ italiano a scuola.,We study Italian at school.,,,studiamo,studi,studia,studiano,A,A1,Presente indicativo: verbi regolari -are,First person plural of -are verbs drops -are and adds -iamo: studiare → studiamo.,https://www.lawlessitalian.com/grammar/present-tense/
Loro camminano nel parco ogni sera.,Loro ___ nel parco ogni sera.,They walk in the park every evening.,,,camminano,cammina,cammino,cammini,A,A1,Presente indicativo: verbi regolari -are,Third person plural of -are verbs drops -are and adds -ano: camminare → camminano.,https://www.lawlessitalian.com/grammar/present-tense/
La banca è di fronte alla farmacia.,La banca è ___ alla farmacia.,The bank is across from the pharmacy.,,,di fronte,dietro,accanto,dentro,A,A1,Direzioni e luoghi in città,'Di fronte a' means 'across from' or 'in front of' when giving directions.,https://www.lawlessitalian.com/vocabulary/directions/
"Marco è italiano, viene da Roma.","Marco è ___, viene da Roma.","Marco is Italian, he comes from Rome.",,,italiano,francese,spagnolo,tedesco,A,A1,"Geografia (paesi, città, nazionalità)",'Italiano' means Italian (nationality). Someone from Rome would be Italian.,https://www.lawlessitalian.com/vocabulary/countries-nationalities/
"Maria è americana, vive in California.","Maria è ___, vive in California.","Maria is American, she lives in California.",feminine speaker,,americana,americano,inglese,canadese,A,A1,"Geografia (paesi, città, nazionalità)","Nationality adjectives agree with gender. 'Maria' is feminine, so 'americana'.",https://www.lawlessitalian.com/vocabulary/countries-nationalities/
Io non vedo la televisione la sera.,Io ___ vedo la televisione la sera.,I don't watch television in the evening.,,,non,mai,sempre,spesso,A,A1,Forme negative semplici,'Non' is placed directly before the verb to make a sentence negative.,https://www.lawlessitalian.com/grammar/negation/
"Io prendo una pizza margherita, per favore.","Io ___ una pizza margherita, per favore.","I'll have a margherita pizza, please.",use presente indicativo: prendere,,prendo,prendi,prende,prendono,A,A1,Presente indicativo: verbi regolari -ere,First person singular of -ere verbs drops -ere and adds -o: prendere → prendo.,https://www.lawlessitalian.com/grammar/present-tense/
"Il libro è nuovo, la penna è nuova.","Il libro è nuovo, la penna è ___.","The book is new, the pen is new.",,,nuova,nuovo,nuovi,nuove,A,A1,Nomi (genere e numero),"Adjectives must agree with the gender of the noun. 'Penna' is feminine, so 'nuova'.",https://www.lawlessitalian.com/grammar/adjective-agreement/
Tu scrivi una lettera alla tua amica.,Tu ___ una lettera alla tua amica.,You write a letter to your friend.,,,scrivi,scrivo,scrive,scrivono,A,A1,Presente indicativo: verbi regolari -ere,Second person singular of -ere verbs drops -ere and adds -i: scrivere → scrivi.,https://www.lawlessitalian.com/grammar/present-tense/
Oggi fa freddo e piove.,Oggi fa ___ e piove.,Today it's cold and it's raining.,,,freddo,caldo,bello,brutto,A,A1,Meteo (vocabolario),'Fa freddo' means 'it's cold'. Rain typically accompanies cold weather.,https://www.lawlessitalian.com/vocabulary/weather/
Questa maglia costa sessanta euro.,Questa maglia costa ___ euro.,This sweater costs sixty euros.,,,sessanta,settanta,ottanta,novanta,A,A1,Numeri e prezzi (0-100),'Sessanta' means sixty. Numbers 0-100 are essential for discussing prices.,https://www.lawlessitalian.com/grammar/numbers/
In inverno fa molto freddo.,In ___ fa molto freddo.,In winter it's very cold.,,,inverno,estate,primavera,autunno,A,A1,Stagioni (vocabolario),"'Inverno' means winter, the season when it's typically very cold.",https://www.lawlessitalian.com/vocabulary/seasons/
Mi piace molto la primavera.,Mi piace molto la ___.,I really like spring.,,,primavera,inverno,estate,autunno,A,A1,Stagioni (vocabolario),"'Primavera' means spring, one of the four seasons.",https://www.lawlessitalian.com/vocabulary/seasons/
Il bagno è al piano di sopra.,Il ___ è al piano di sopra.,The bathroom is upstairs.,,,bagno,giardino,garage,balcone,A,A1,Casa (vocabolario),"'Bagno' means bathroom, a room typically found upstairs in many houses.",https://www.lawlessitalian.com/vocabulary/house-home/
Io ho una sorella e due fratelli.,Io ___ una sorella e due fratelli.,I have one sister and two brothers.,,,ho,hai,ha,hanno,A,A1,Verbo avere (to have),First person singular of 'avere' (to have) is 'ho'.,https://www.lawlessitalian.com/grammar/avere/
Sono le tre e mezza del pomeriggio.,Sono le ___ e mezza del pomeriggio.,It's three thirty in the afternoon.,,,tre,due,quattro,cinque,A,A1,Orario (telling time),'Le tre e mezza' means 'three thirty'. Use feminine plural 'le' with hours 2-12.,https://www.lawlessitalian.com/vocabulary/time/
Io finisco i compiti.,Io ___ i compiti.,I finish the homework.,,,finisco,finisci,finisce,finiamo,A,A1,Presente indicativo: verbi regolari -ire con -isc-,Verbs like 'finire' add -isc- in singular forms and third person plural. First person singular: finire → finisco.,https://www.lawlessitalian.com/grammar/present-tense-regular/
