complete_sentence,question_text,english_translation,hint,alternate_correct_responses,option_a,option_b,option_c,option_d,correct_option,cefr_level,topic,explanation,resource
"Se fosse dovuto succedere, sarebbe già successo.","Se fosse dovuto succedere, ___ già successo.","If it was going to happen, it would've happened already.","Result clause of a Type III hypothetical: what tense goes here?","",sarebbe già successo,era già successo,sarà già successo,fosse già successo,A,B2,Periodo ipotetico II e III,"Type III hypothetical (past counterfactual): Se + congiuntivo trapassato → condizionale passato. 'Se fosse dovuto succedere' (if it was going to / was meant to happen) uses 'dovere' in the congiuntivo trapassato to capture the future-in-the-past nuance. The result clause 'sarebbe già successo' is condizionale passato of 'succedere' (intransitive → essere).",https://www.lawlessitalian.com/grammar/verbs/hypothetical-si/
"A un certo punto dopo le cinque.","A un certo punto ___ le cinque.","Sometime after 5 o'clock.","Which preposition means 'after' with a time expression?","In un momento qualsiasi dopo le cinque.",dopo,prima di,entro,fino alle,A,A2,Espressioni di tempo (fa; da; tra/fra; ore),"'Dopo' + definite article + hour = after a given time. 'A un certo punto dopo le cinque' captures the vagueness of 'sometime after'. Contrast: 'prima di' (before), 'entro' (by/no later than), 'fino alle' (up until).",https://www.lawlessitalian.com/grammar/prepositions/
"In qualsiasi momento dalle otto in poi.","In qualsiasi momento ___ le otto in poi.","Anytime after 8 o'clock.","'From... onwards' with a time — which preposition introduces the hour?","Dalle otto in poi.",dalle,dopo,entro,fino alle,A,B1,Espressioni di tempo (fa; da; tra/fra; ore),"'Dalle [ora] in poi' = from [time] onwards / anytime after [time]. 'Da' contracts with the article: da + le = dalle. The phrase 'in poi' is essential — without it, 'dalle otto' alone means 'from 8' (start of a duration) but doesn't convey the open-ended 'anytime after' meaning.",https://www.lawlessitalian.com/grammar/prepositions/
"Dobbiamo arrivare lì entro le dieci.","Dobbiamo arrivare lì ___ le dieci.","We need to get there by 10 o'clock.","Which preposition marks a deadline?","",entro,alle,fino alle,dopo,A,B1,Connettivi di causa/effetto/concessione/ordine,"'Entro' = by / no later than — it marks a deadline by which something must be completed or achieved. 'Alle dieci' means 'at 10' (arrival at a point in time). 'Fino alle' means 'up until 10' (continuous duration). 'Dopo' means 'after'.",https://www.lawlessitalian.com/grammar/prepositions/entro/
"Questo dev'essere finito entro il primo del mese.","Questo dev'essere finito entro il ___ del mese.","This needs to be finished by the first of the month.","The 1st of the month is the only date that uses an ordinal number in Italian","",primo,uno,una,prima,A,A1,Date (esprimere la data),"In Italian, cardinal numbers are used for dates (il 3 maggio, il 15 marzo), with one critical exception: the 1st of the month always uses the ordinal 'primo'. Saying 'il uno' is a common error and is never correct. 'Entro il primo del mese' = by the first of the month. Note: 'deve essere' elides naturally to 'dev'essere' before a vowel.",https://www.lawlessitalian.com/vocabulary/dates/
"Questo dev'essere finito entro fine mese.","Questo dev'essere finito entro ___ mese.","This needs to be finished by the end of the month.","In everyday and business Italian 'fine mese' is often used without an article","Questo dev'essere finito entro la fine del mese.",fine,la fine del,il primo del,la fine,A,B1,Espressioni di tempo (fa; da; tra/fra; ore),"'Entro fine mese' (articleless) is the standard idiomatic form in everyday and business Italian. The fuller form 'entro la fine del mese' is also correct but less natural in practice. Note that 'fine' here functions almost as a fixed noun in a set expression, similar to 'entro fine anno' (by end of year).",https://www.lawlessitalian.com/grammar/prepositions/entro/
"Se tagli il palo, marcirà più in fretta.","Se tagli il palo, ___ più in fretta.","If you cut into the pole, it will rot faster.","Type I hypothetical: a real/likely condition leads to what tense in the result clause?","",marcirà,marcisce,marcisse,marcirà più,A,B1,Periodo ipotetico I tipo,"Type I hypothetical: Se + presente indicativo → futuro semplice. The condition is real and likely — if you do X, Y will happen. 'Marcire' (to rot) is a regular -ire verb: marcisce (present), marcirà (future). Contrast with Type II (unlikely: congiuntivo imperfetto → condizionale presente) and Type III (impossible past: congiuntivo trapassato → condizionale passato).",https://www.lawlessitalian.com/grammar/verbs/hypothetical-si/
"Se avessi saputo di più, avrei fatto diversamente.","Se ___ saputo di più, avrei fatto diversamente.","If I had known better, I would have done differently.","Type III hypothetical: the condition clause requires which tense of the subjunctive?","",avessi,avevo,avrei,fossi,A,B2,Periodo ipotetico II e III,"Type III hypothetical (past counterfactual): Se + congiuntivo trapassato → condizionale passato. 'Avessi saputo' is the congiuntivo trapassato of 'sapere' (avere + past participle). 'Sapere' is used here — not 'conoscere' — because it refers to judgment/wisdom rather than familiarity with a person or place. The result clause 'avrei fatto diversamente' is condizionale passato of 'fare'.",https://www.lawlessitalian.com/grammar/verbs/hypothetical-si/
"Ha detto che avrebbe cancellato l'accordo la mattina seguente.","Ha detto che ___ l'accordo la mattina seguente.","He said he was going to cancel the agreement the following morning.","Reported speech: 'stare per + infinito' in the original shifts to which form when the reporting verb is past?","",avrebbe cancellato,cancellerebbe,avesse cancellato,stava per cancellare,A,B2,Discorso indiretto (avanzato),"In reported speech with a past reporting verb ('ha detto'), a future intention shifts to condizionale passato: 'avrebbe cancellato'. Note also the time expression shift: 'the following morning' → 'la mattina seguente' (not 'domani mattina', which would belong to the original speech). 'Stava per cancellare' (was about to cancel) is a plausible distractor but is the direct speech form, not the correctly shifted reported form.",https://www.lawlessitalian.com/grammar/verbs/indirect-speech/
"Mi è stato detto che la fattura sarebbe stata inviata, ma ad oggi non l'ho ancora ricevuta.","Mi è stato detto che la fattura ___ inviata, ma ad oggi non l'ho ancora ricevuta.","I was told the bill would be sent, but as of today I still have not received it.","Future-in-the-past: what was promised is reported using the past conditional","",sarebbe stata,era stata,sarà stata,fosse stata,A,B2,Condizionale passato,"In reported speech with a past reporting verb, a future event becomes condizionale passato: 'sarebbe stata inviata' (would have been sent / was going to be sent). This is the passive form: essere (condizionale passato) + participio passato agreeing with 'fattura' (fem. sg.).",https://www.treccani.it/enciclopedia/condizionale_%28La-grammatica-italiana%29/
"Mi aspettavo i risultati dell'analisi entro mercoledì scorso.","Mi aspettavo i risultati dell'analisi ___ mercoledì scorso.","I was expecting the results of the analysis by this past Wednesday.","Which preposition means 'by' a deadline?","",entro,fino a,da,per,A,B1,Connettivi di causa/effetto/concessione/ordine,"'Entro' expresses a deadline ('by/no later than'). 'Fino a' means 'up until' (continuous duration). 'Da' marks the start of a period. 'Per' here would imply purpose, not a deadline. 'Mi aspettavo' (imperfetto) conveys an ongoing expectation that was not met.",https://www.lawlessitalian.com/grammar/prepositions/entro/
"Mi ricorda le macchinette con cui giocavo da bambino.","Mi ricorda le macchinette con ___ giocavo da bambino.","It reminds me of the toy cars I used to play with when I was a child.","Relative pronoun after a preposition","",cui,che,le quali,chi,A,B1,Pronomi relativi (che/cui; prep + cui),"After a preposition, Italian uses 'cui' (not 'che'): 'con cui giocavo' = 'which I used to play with'. 'Che' cannot follow a preposition. 'Le quali' is a formal/written alternative but marked wrong here to focus on the core rule. 'Giocavo' (imperfetto) expresses a childhood habit.",https://www.lawlessitalian.com/grammar/pronouns/relative-pronouns/
"Costa la metà del prezzo.","Costa ___ metà del prezzo.","It's half the price.","Does 'metà' need an article here?","",la,una,di,—,A,B1,Comparativi e superlativi (irregolarità),"'La metà' (half) is a noun in Italian and requires the definite article: 'costa la metà del prezzo'. Dropping the article (*'costa metà del prezzo') is informal and less standard. 'Del' is the preposition articolata 'di + il', used to link 'metà' to 'prezzo'.",https://www.treccani.it/vocabolario/meta/
